fac1,fac2,fac1_name,fac1_name,fac1_name,fac2_name,fac2_name,fac2_name,wstart,wend,winner,week
40039,48633,Black &amp; White,0,0,Tokyo Syndicate,0,0,1737234000,0,0,2025_3
35840,46708,Baby Champers,0,0,The Revenant,0,0,1737216000,0,0,2025_3
42685,50737,WarDogs Outpost,0,0,Rocky&#039;s Gym,0,0,1737133200,0,0,2025_3
51740,52940,BONE THUGGIN MAFIA,0,0,Knight Templar,0,0,1737039600,0,0,2025_3
31412,51915,Error [404],0,0,Faster Than Light,0,0,1737216000,0,0,2025_3
51932,52805,$Money Makers$,0,0,Altruistic Perception,0,0,1737212400,0,0,2025_3
51933,52788,Army of Terror,0,0,MATRIX UNDERGROUND,0,0,1737133200,0,0,2025_3
6557,52657,Stepping Stones,0,0,Armed Response Unit 1,0,0,1737039600,0,0,2025_3
11581,27312,Natural Selection III,0,3,SA  Equilibrium,0,0,1737154800,0,0,2025_3
50055,50806,Bleak,0,2,Sanctuary for all,0,0,1737241200,0,0,2025_3
50711,52677,Diamond Cartel,0,0,The Lions Den,0,0,1737057600,0,0,2025_3
14820,37786,Unbroken Legion,0,0,Halos Momentum,0,0,1737241200,0,0,2025_3
44746,51758,After-Death,0,0,Dracula's Disciples,0,0,1737241200,0,0,2025_3
37838,52235,Threat Level Midnight,0,0,Oreo Cheesecake,0,0,1737136800,0,0,2025_3
8677,15083,Mana,0,0,Leeches,0,0,1737234000,0,0,2025_3
48680,51291,BlackWatch,0,0,Forge INC,0,0,1737054000,0,0,2025_3
7986,14432,Assassin Team,0,0,160th SOAR Night Stalkers,0,0,1737129600,0,0,2025_3
49064,52713,ARGENTINA NOVA&#039;S ARMY,0,0,Bella Ciaoo,0,0,1737061200,0,0,2025_3
46570,48002,INSANITY X,0,0,Corrupted Phoenix,0,0,1737234000,0,0,2025_3
43889,50960,Knockout - Weight Room,0,0,The District,0,0,1737136800,0,0,2025_3
9405,27576,Voidbringers,0,0,Dirty Deeds Inc,0,0,1737237600,0,0,2025_3
14581,16443,Project Nimbus,0,0,Undead Syndicate,0,1,1737057600,0,0,2025_3
46666,46692,Fluffy Kittens Inc.,0,0,Disruption,0,0,1737154800,0,0,2025_3
8001,51200,Dark Exterminators,0,0,The Bottomless Pit,0,0,1737043200,0,0,2025_3
9041,9100,PT-Calculated,0,0,The Black Hand,0,0,1737122400,0,0,2025_3
11782,47760,Divine Judgement,0,0,Ninjas In Rehab,0,0,1737050400,0,0,2025_3
8336,11747,Monarch HQ,0,0,Natural Selection II,0,0,1737144000,0,0,2025_3
9036,25857,The Black Pearl,0,0,Road House,0,0,1737036000,0,0,2025_3
23952,44762,Midnight Plague,0,0,Monarch Retardation,0,2,1737144000,0,0,2025_3
9728,11898,Victores Cruenti,0,0,Harms Way,0,0,1737050400,0,0,2025_3
47676,48443,Matcha Cafe,0,0,Knockout - Ringside,0,0,1737219600,0,0,2025_3
50467,51056,D0p3 Kr3w,0,1,Torn Sails,0,0,1737147600,0,0,2025_3
41259,45835,Ninja&#039;s Playground BRC,0,2,Fallen Angels Syndicate,0,0,1737234000,0,0,2025_3
